"id","title","slug","description","platform","appType","primaryColor","style","additionalNotes","createdAt","updatedAt","promptCount","isFreeTier","isArchived","userId"
"01f9a631-d210-402e-ad3f-ea817ea1e19d","travlify","travlify","Background
NATPAC requires accurate data for transportation planning, but manual household surveys are time-consuming, tedious, and cover a very small percentage of the population, making the planning exercise inadequate.

Description
The objective is to develop a travel-related software application for mobile phones to capture trip information. With user consent, the app should automatically detect some travel details and nudge the user to fill in the rest. This will help establish a comprehensive travel activity and trip chain for individuals.

Expected Solution
A software application that captures complete trip details and saves them to a server/database accessible by NATPAC scientists for planning purposes. The app should be able to capture the following information:
Trip number
Origin (lat, long) and start time
Destination (lat, long) and end time
Mode used
Travel distance
Trip purpose
Number of companions during the trip
Frequency and cost incurred","LOVABLE","MOBILE","#022864","Corporate & Professional","Build a professional Kerala Government–style website for Travelify, a smart travel survey app by NATPAC.
The design must look official, trustworthy, and modern, using a blue, white, and green color palette, rounded cards, soft shadows, and smooth animations. The site must be bilingual (English + Malayalam) with a toggle switch on the top right.

🧭 Working Flow (Pages & Sections)

Login Page

Clean login form with Kerala Govt emblem at the top.

Fields: Email, Password.

Button: Login → (rounded, deep blue).

Consent Form Page

Title: “Travelify Survey Consent”

Paragraph text about data privacy and NATPAC survey purpose.

Checkbox: ✅ I agree to participate.

Button: Accept & Continue.

Home Dashboard

Two main cards (big stylish buttons):

🚗 Start Quick Trip

🗺️ Tour Mode

Quick Trip Mode Page

Fields: Starting Point, Ending Point (with map autocomplete).

Map Section (Highlight): Show dynamic Kerala map with drawn route between start & end.

At trip end, ask user:

Number of Passengers

Traffic Congestion % (slider input)

Trip Purpose (dropdown: Work, Study, Tourism, etc.)

Button: Submit Trip → Send to NATPAC Database.

Tour Mode Page

Same as Quick Trip but enhanced map with extra layers:

🏨 Restaurants

🚻 Toilets

🏞️ Tourist Spots

⛽ Fuel Stations

Each POI should appear as an interactive icon on the map.

Map Section (Very Important & Stylish)

Must be the centerpiece of the site.

Clean Kerala map with glowing blue route lines.

Interactive pins for Start & End.

POIs in Tour Mode as icons with tooltips.

Language Option (Bilingual Support)

Toggle button on header: 🇮🇳 English | മലയാളം

All text content should auto-switch between both languages.

Submit & Confirmation Page

Stylish confirmation card.

Text: “✅ Thank you! Your trip data has been successfully submitted to NATPAC.”

Option: Download trip summary (PDF/Email).

Footer Section

Kerala Govt emblem + NATPAC logo.

Text: “© 2025 Govt of Kerala – Travelify (NATPAC)”

Links: Privacy Policy | Terms & Conditions.

🎨 Styling Guidelines

Kerala Govt branding (Deep Blue + White + Green).

Rounded cards & buttons with hover effects.

Minimal, professional typography (Montserrat + Open Sans).

Smooth transitions when moving between pages.

Mobile responsive.","2025-09-25 16:36:06.508","2025-09-25 16:36:06.508","0","true","false","43efd095-778e-4a71-a2f2-0e3d33b0dfc1"
"02068aab-effd-4f0a-b92a-ea7e87544e9f","games","games","run a python program generate a snake game","CURSOR","WEB","#EF4444","Creative & Artistic","","2025-09-24 04:46:14.444","2025-09-24 04:47:00.763","1","true","false","039fb8ad-f80c-4c9f-a84b-79f0a7c3be68"
"022e780b-8a5e-41e5-9e5f-e15586116801","Student","student","Mange student details","LOVABLE","MOBILE","#3B82F6","Educational & Learning","","2025-09-24 07:41:52.15","2025-09-24 07:41:52.15","0","true","false","a282d1af-2ec7-4215-958a-624057894425"
"02584fe3-013a-42e6-9db3-c14f60da9a09","ATS Resume Generator","ats-resume-generator","Title: ATS-Friendly Resume Generator - UI Design

Description:
Design a modern, clean, and responsive user interface for an ATS-Friendly Resume Generator web application.

UI Flow Requirements:

Login / Signup Page:

Simple, elegant authentication screen.

Fields: Email, Password, Confirm Password (for signup).

Buttons: “Login”, “Signup”, and “Forgot Password?”.

Main Dashboard:

After successful login, redirect to a dashboard.

Display user credits and navigation options.

Tabs or cards for: “Upload Resume”, “Upload Job Description (Optional)”, “Generated Resumes”, and “Profile”.

Upload Section:

Allow users to upload PDF or Word (.docx) files.

Separate optional field to upload a Job Description file.

Clear drag-and-drop area with progress indicators.

“Generate ATS Resume” button for processing.

Processing Screen:

Show a modern loading animation with text: “Optimizing your resume for ATS...”.

Result Page:

Display the final optimized resume with a Download PDF button.

Provide a small preview thumbnail of the generated resume.

Profile Management Page:

Show user info (Name, Email).

List of all previously generated resumes with timestamps and download links.

Show remaining credits and a “Buy More Credits” button.

Payment Page (Razorpay Integration UI):

Clean Razorpay payment modal section to purchase more credits.

Style Guide:

Theme: Professional, tech-inspired, and ATS-friendly.

Colors: Shades of blue, white, and gray.

Typography: Modern sans-serif font (like Inter or Poppins).

Layout: Responsive with neat card-based components.

Include subtle animations for smoother UX.

Goal:
Build only the front-end UI (HTML, CSS, JS or React) — no backend functionality needed.","LOVABLE","WEB","#3B82F6","Modern & Minimalist","","2025-10-25 10:03:49.177","2025-10-25 10:05:51.48","1","true","false","519969bb-f4ef-486c-bb57-d3b445fc9af1"
"02a767c1-c649-41c7-9333-53c0e2dfd670","salon rush","salon-rush","a appointment booking website for a salon","LOVABLE","WEB","#000000","Healthcare & Medical","use black and gold them","2025-10-15 16:54:27.317","2025-10-15 16:55:42.455","1","true","false","88c31ff2-7877-4a8e-be21-445c667f4dd0"
"037b8dfe-5fda-4b79-8bef-94b5ad44e8b1","Skillink","skillink","🧩 Project Title:

SkillLink – AI-Powered Career Discovery and Skill Development Platform

🧠 Project Description:

SkillLink is an intelligent web platform designed to help students and young professionals discover their ideal career path and build personalized skill roadmaps using artificial intelligence.

Unlike existing e-learning platforms that focus only on course delivery, SkillLink starts from the core of the learner’s identity — their dreams, interests, and strengths. Through an interactive personality quiz and AI-driven analysis, SkillLink identifies the most suitable career field and automatically recommends the right skills, tools, and online courses to achieve it.

The system integrates with free public APIs like Coursera, Udemy, and ZenQuotes, and uses OpenAI or Google Gemini APIs to provide real-time mentorship, motivational guidance, and learning suggestions.

By combining psychology, AI, and personalized learning, SkillLink transforms self-doubt into direction — empowering students to make confident career decisions and take actionable steps toward their goals.

⚙️ Key Features:

🎯 Dream Discovery Quiz:
Short, fun personality-based questions to identify each user’s natural interests and career potential.

🤖 AI Career Coach:
AI-powered chatbot offering career advice, learning paths, and skill recommendations.

📚 Smart Course Aggregator:
Real-time course fetching from Coursera and Udemy APIs based on user’s career path.

🌱 Skill Roadmap Generator:
Personalized learning plan generated dynamically by AI, including tools, projects, and resources.

💬 Daily Motivation Engine:
Fetches motivational quotes and success tips via the ZenQuotes API to keep learners inspired.

🧩 Gamified Progress Tracker (optional):
Users earn XP and milestones as they complete skill modules.

💡 Problem Statement:

Many students struggle to identify what they want to become or what skills to learn to reach their dream job. Existing learning platforms like Coursera or Udemy provide excellent courses but lack personalized career guidance and motivation.

🚀 Proposed Solution:

SkillLink bridges this gap by combining AI-powered career counseling with personalized skill recommendations. It offers a complete pathway from dream identification to practical learning — all in a single interactive platform.

🧰 Tech Stack:
Layer	Technology
Frontend	React.js + Tailwind CSS
Backend	Flask (Python) or Express.js (Node)
Database	Firebase / SQLite
AI Integration	OpenAI GPT API / Google Gemini API
Other APIs	Coursera API, Udemy API, ZenQuotes API
📊 Expected Outcomes:

Students gain clarity about their career path.

Personalized learning recommendations reduce confusion and time wasted on irrelevant courses.

Encourages self-learning and motivation through daily insights and AI chat support.

🧩 Unique Selling Points (USP):
Existing Platforms	SkillLink Advantage
Focus on course catalog	Focus on career discovery first
Generic course search	AI-based personalized suggestions
No motivational element	Daily quotes & progress support
No roadmap guidance	Full roadmap with projects & tools","OTHER","HYBRID","#3B82F6","Corporate & Professional","","2025-10-29 10:22:16.14","2025-10-29 10:23:51.785","2","true","false","ad8d34c7-ab69-43f5-a16e-8f3a7dc7cc93"
"039cb528-dfcb-437c-a9fd-3fcea83f5272","On-Prem Document Intelligence for KMRL​","on-prem-document-intelligence-for-kmrl","Our Idea is to develop an on-premises MCP that ingests documents from email,
SharePoint, Maximo exports, WhatsApp PDFs, scanners and cloud links; applies OCR
+ layout parsing and multilingual normalization (Malayalam + English); builds a semantic
vector index and provenance layer; runs fine-tuned internal LLMs for concise summaries​","CLAUDE","DESKTOP","#3B82F6","Custom Style","government website of india","2025-09-28 10:41:47.23","2025-09-28 10:48:08.313","1","true","false","f100b8a6-c086-48ac-9e4f-b64998260a7a"
"04154ce0-8505-4ca8-bfb4-484237267b1c","HRMS","hrms","Human Resources Management System","LOVABLE","WEB","#6366F1","Healthcare & Medical","","2025-09-24 06:39:00.308","2025-09-24 06:42:09.897","2","true","false","ae29c1c8-492b-4cc5-ad22-7d7d84003b66"
"04486586-1cbc-4b9d-8f85-d2513fd25890","AquaListen","aqualisten","A software-based system that uses underwater audio to assess the health of coral reefs. By analyzing recordings of reef soundscapes—particularly fish calls and low-frequency biological activity—this project builds AI models to distinguish between healthy, intermediate, and degraded reef states. It also incorporates detection of harmful events such as boat engine noise and blast fishing. Using spectrogram-based CNNs, transfer learning, and acoustic indices (e.g. SPL, entropy), the system produces metrics for reef health, biodiversity, and alerts. Designed to integrate with OceanPulse, it offers a real-time dashboard and visualization interface. No hardware is required for MVP; public, annotated datasets and synthetic data are used for training and evaluation.","LOVABLE","WEB","#3B82F6","Modern & Minimalist","","2025-09-27 12:34:27.869","2025-09-27 12:35:22.625","1","true","false","76a8331c-62d7-4be2-b946-6051b548efa0"
"04ce411e-31f5-4f30-a9bd-1aece69a7979","Travel Mate","travel-mate","{
  ""app_name"": ""TravelMate"",
  ""description"": ""A smart travel companion app to manage trips, bookings, and memories with real-time safety alerts and immersive 360° trip playback."",
  ""features"": {
    ""user_management"": {
      ""authentication"": [""email_login"", ""social_login""],
      ""profile"": [""edit_profile"", ""travel_preferences""]
    },
    ""trip_itinerary"": {
      ""create_trip"": true,
      ""manage_bookings"": {
        ""hotel"": true,
        ""restaurant"": true,
        ""activities"": true,
        ""transport"": true,
        ""note"": ""Bookings are managed, not booked within the app""
      }
    },
    ""real_time_alerts"": {
      ""location_based"": true,
      ""alerts"": [""weather"", ""safety"", ""health"", ""local_disruptions""],
      ""push_notifications"": true
    },
    ""memories"": {
      ""photo_upload"": true,
      ""video_upload"": true,
      ""support_360_video"": true,
      ""trip_gallery"": true
    },
    ""ai_chatbot"": {
      ""travel_assistant"": true,
      ""queries_supported"": [
        ""itinerary_check"",
        ""safety_advisories"",
        ""local_tips"",
        ""reminders""
      ],
      ""real_time_syncing"": true
    },
    ""optional_features"": {
      ""sharing"": [""itinerary"", ""trip_memories""],
      ""collaborative_planning"": false
    }
  },
  ""tech_stack"": {
    ""frontend"": ""React Native (cross-platform)"",
    ""backend"": ""Node.js with Express"",
    ""database"": ""PostgreSQL or MongoDB"",
    ""ai_chatbot"": ""OpenAI/GPT API"",
    ""cloud"": ""AWS or Firebase""
  }
}","CURSOR","MOBILE","#3B82F6","Corporate & Professional","","2025-09-20 16:37:43.647","2025-09-20 16:38:35.136","1","true","false","b018e0c8-1442-4327-9c05-1dfedfaf6f2b"
"05357e34-a80f-4065-b28f-8bc4849d902c","Student performance prediction and advisor system","student-performance-prediction-and-advisor-system","a smart web-based system that uses AI and business intelligence to predict student performance and provide personalised study advice through data analysis and visualisation","LOVABLE","WEB","#06B6D4","Educational & Learning","AI-based performance prediction,Personalized study tips and course recommendations,Interactive dashboards and progress tracking,Attendance and grades monitoring,Chatbot for student guidance,Secure login (student, teacher, admin),Data visualization with charts and reports,Cloud storage for data access,Mobile and web compatibility,Feedback and improvement suggestions","2025-10-29 04:32:51.403","2025-10-29 04:34:18.059","1","true","false","66a47a11-1480-4c48-898d-3ae9446e609c"
"05cc0cce-40fe-4872-8833-de7640ad8883","Ai Mock Interview App","ai-mock-interview-app","I want to build a mock interview website powered by AI that helps users practice and improve their interview skills. The platform should include the following features:

User Authentication:

Allow users to register, log in, and manage profiles.

Save user progress, history, and performance reports.

Interview Role Selection:

Let users select their desired job role (e.g., Software Engineer, Data Analyst, Web Developer).

The AI should tailor questions based on the selected role.

AI Question Generation:

Generate relevant interview questions dynamically using AI.

Support both technical and behavioral questions.

Answer Input:

Users can type or speak their answers (integrate speech-to-text for voice interviews).

Include a timer to simulate real interview conditions.

AI Evaluation and Feedback:

AI should analyze the user’s answers.

Provide instant feedback, suggestions for improvement, and a performance score.

Display strengths and weaknesses clearly.

Performance Reports:

Show detailed reports with scores and feedback history.

Use charts or graphs to visualize progress.

Admin Dashboard:

Allow admins to manage question categories, monitor users, and view statistics.

User Dashboard:

Let users review past interviews, see progress, and retake interviews.

Option to download or share their performance report.

Advanced Features:

Resume-based interview: AI asks questions from uploaded resumes.

Voice-based AI interviewer using text-to-speech.

Leaderboard or gamified progress tracking.

Tech Stack (Suggested):

Frontend: React + TailwindCSS

Backend: Node.js (Express)

Database: Firebase

AI Integration: OpenAI API or Gemini API

Hosting: Vercel, Render, or Firebase Hosting","OTHER","WEB","#6366F1","Educational & Learning","","2025-11-04 14:44:48.017","2025-11-04 14:47:41.168","1","true","false","2377b46b-b546-40fb-80bd-3a91ba681215"
"06561fac-2397-4c83-b6a1-8fb61f7bafef","MindGroove  Academy","mindgroove-academy","fully responsive website for MindGroove 
Academy highlighting all programs—Karate, Bharatham, Western Dance, Music (Drums 
& Keyboard), and Abacus—plus a Gallery and an Enquiry Contact Form that stores 
details in Google Sheets. 

Key Features & Scope 
● Home Page with modern hero section and call-to-action buttons 
● About Page with academy story with their name and designation
● Programs Page with individual sections for each activity 
● Gallery Page with responsive photo slider/lightbox or grid 
● Contact Page with enquiry form integrated to Google Sheets 
● Floating WhatsApp Chat Icon 
● Mobile-first responsive design 
● Advanced SEO (meta tags, sitemap, on-page optimization)","BOLT","WEB","#ffffff","Corporate & Professional","","2025-10-01 14:56:57.702","2025-10-01 14:58:11.679","1","true","false","4dbd2619-78d8-439a-aaaf-1e85704f1889"
"067942f8-0854-4928-a21d-9b27420f0f1c","Certi/fyPath","certifypath","A web application that helps students discover, track, and showcase domain-specific certifications through a gamified and community-driven platform. Students can browse free & paid certifications, log completed ones, upload proof, and build their own portfolio. Gamification elements like coins, badges, levels, and leaderboards keep them motivated, while AI recommendations suggest the next best certifications to pursue.","V0","WEB","#84CC16","Corporate & Professional","Gamification: Coins, stars, levels, and milestone badges (6-month & yearly).

Leaderboards: By college, batch, domain, and friends.

Community: Discussion boards, cheering peers, and certification sharing.

Portfolio: Shareable student profiles showcasing completed certifications and skills.

Recognition: Virtual trophies + potential real-life rewards (gift cards, mentorships).

Tech Stack (planned): React (Next.js), TailwindCSS, Node.js/Django, MongoDB/PostgreSQL, Firebase/AWS S3, Google OAuth.

Roadmap:

Phase 1 → MVP (login, certification listings, progress tracking, basic gamification).

Phase 2 → Leaderboards, community, badges.

Phase 3 → AI recommendations, real-world rewards, LinkedIn integration.","2025-09-24 11:46:06.365","2025-09-24 11:46:53.752","1","true","false","324149cc-d14f-4d17-89b8-a542bd4d2168"
"069bd55b-66c6-4fb9-815c-7402461a2019","Logi","logi","This app make for score a cricket runs and wicket and all things about the cricket match","V0","WEB","#ff00ee","Creative & Artistic","","2025-09-24 08:56:37.127","2025-09-24 09:13:03.904","2","true","false","6f60e4f8-119e-4877-b622-dbc65425bd13"
"06c05b94-0825-447f-9714-2963fef33d6e","E- Voting using Blockchain technology","e-voting-using-blockchain-technology","Create a secure, transparent, tamper-proof digital voting system using blockchain, where each voter can vote once, votes are anonymous, and results are verifiable by anyone.

🧩 Main Features:

1. Voter registration and login with simulated ID verification ( DigiLocker API).


2. One-person-one-vote control via smart contracts.


3. Encrypted vote storage on blockchain.


4. Automatic vote tally and result publication via smart contract.


5. Admin dashboard for election creation, monitoring, and closing.


6. Voter dashboard to view elections and cast votes.


7. Public verification page showing blockchain hashes for audit transparency.



⚙️ Technology Stack:

Frontend: React.js (with TailwindCSS)

Backend: Node.js (Express) 

Blockchain: Ethereum testnet (e.g., Sepolia, Ganache, or Polygon testnet)

Smart Contracts: Solidity + Hardhat 

Database (off-chain):  Firebase (for user and election metadata)

Encryption: AES for vote encryption and hashing

Authentication: JWT token or OTP-based mock verification

Hosting: IPFS for decentralized storage, Vercel/Render for app deployment


🔐 Security Features:

Zero-knowledge proof-like ID validation (mocked).

Encrypted ballot storage.

Immutable transaction records.

Smart contract prevents double voting.","OTHER","WEB","#F97316","E-commerce & Retail","","2025-10-23 02:11:46.066","2025-10-23 02:14:58.175","1","true","false","9aac27a8-b59f-4266-ae27-cd6eb11882c2"
"06eb16bd-de3b-45a5-925c-7db0d873bd79","ecommerce app","ecommerce-app","react based ecommerce app crt option with redux and user registertion and login option ui very awesomely also","CLAUDE","WEB","#EF4444","E-commerce & Retail","loaders , user edit option or every logedin user","2025-09-25 08:37:40.807","2025-09-25 08:37:40.807","0","true","false","dcc1d3bf-b43e-4800-b32e-89c5390f3c3f"
"072e88fe-04f2-4d80-8a0a-55da6ee62f9c","Heart Disease Prediction","heart-disease-prediction","Heart disease prediction using ai/ml based on user input data and test report file upload the report generated can be downloadable and the result should be accurate and presise content datasets need to be trained .it needs 2 modules admin module has access for view and download all test reports and user module needs access to only a single test report each module has authentication using local storage.","CLAUDE","WEB","#3B82F6","Healthcare & Medical","","2025-11-04 01:28:26.389","2025-11-04 01:28:26.389","0","true","false","0fb5d19f-e30b-4d11-b528-edbbb82d4592"
"07329f6b-8cdc-4b16-bbf7-490036c75172","Jj","jj","Ecom , that sells anime  theamee merchs","CURSOR","WEB","#3B82F6","Creative & Artistic","","2025-10-14 18:43:15.836","2025-10-14 18:44:18.84","1","true","false","556853c3-d628-4605-9d9d-df5db3ba5b44"
